NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
Discoteca Online,"A website focused on shows, music, and news. Social media: 50 K ",,,MÉXICO,,,,,,,,,,,
Sopitas,One of the most popular entertainment sites in Mexico. They have a large music readership as Sopitas comes from a radio/music background. 2.2M unique visitors per month. Social Media: 5.2M,,,MÉXICO,,,,,,,,,,,
Revista Neo,Neo is a company dedicated to spreading and promoting marketing. Social Media: 86K,,,MÉXICO,,,,,,,,,,,
Diario 24 Horas,"A Newspaper in Mexico. Distribution 150K daily. Social media: Over 2.4M ",,,MÉXICO,,,,,,,,,,,
Rutas Alternas,Music publication and online radio station focusing on all genres of music. Social Media: 18.6K,,,MÉXICO,,,,,,,,,,,
Rock 91.7 FM,"The most relevant indie, rock, and alternative radio station in Monterrey. Social Media: 120K. ",,,PENDING,,,,,,,,,,,
My Amigo TV,"Online channel and website focused on sharing creative music content, news and show dates. Social Media: 12.3K",,,MÉXICO,http://www.myamigo.tv/​,,,,,,https://www.facebook.com/myamigotv​,,https://www.instagram.com/myamigotv/​,,
Monterrey 360,"Digital magazine with the most interesting news regarding music,concerts, events, festivals, culture, art, and sport in Monterrey and all of Mexico. Social Media: 71.8K. ",,,MÉXICO,,,,,,,,,,,
,,,,MÉXICO,,,,,,,,,,,
El Lobo,"Radio station in Chihuahua, Chihuahua. Broadcasting on 106.1 FM and carries a pop format. Social Media: 12K",,,MÉXICO,,,,,,,,,,,
"Televisa Digital ",Online news agency for Televisa Networks,,,MÉXICO,,,,,,,,,,,
SKY View,"SKY VIEW is an entertainment magazine that has a circulation of 360 thousand copies and is directed to a target A, B and C +. 2 versions of the magazine are made every month: the national version, which reaches 280 thousand households, and the metropolitan version, with 80 thousand copies, which have 24 more pages of a recommendation section called City only for subscribers from Mexico City, Toluca and Cuernavaca. This section is divided into lifestyle, music, restaurants, shows, cinema, video games, among others. Social media: 193.3K",,,MÉXICO,https://www.sky.com.mx/skyview/,,,,,https://twitter.com/skymexico,https://www.facebook.com/SKYMexicoOficial,,,,
Grita Fuerte,Online music magazine focused on all news pertaining to the rock genre. Social Media: 304K.,,,MÉXICO,,,,,,,,,,,
Récord,"Mexican daily sports newspaper with a circulation of 105,339. Social Media: 3.2M",,,MÉXICO,,,,,,,,,,,
Veintitantos,"Print and online magazine with news on fashion, beauty and entertainment. Social Media: 956K. ",,,MÉXICO,,,,,,,,,,,
Andina Newspaper,General national newspaper with an international news and culture section. Social Media: 600K,,,PERU,,,,,,,,,,,
Rock Para Los Dientes,Rock music online publication. Social Media: 2K.,,,PERU,,,,,,,,,,,
La República,Regional newspaper based in Lima. Social Media: 7.9M,,,PERU,,,,,,,,,,,
Dirty Beats Radio,Online radio station focused on EDM (Electronic Dance Music). Social Media: 454K,,,PERU,,,,,,,,,,,
Cosas Peru,"A fashion, culture, lifestyle, and general entertainment magazine. Social Media: 351K Print: 70K Monthly ",,,PERU,,,,,,,,,,,
Radio Doble Nueve (99.1FM),Radio station in Lima focused on rock music. Social Media : 95K,,,PERU,,,,,,,,,,,
Diario Peru 21,Daily newspaper. Social Media: 2.5M,,,PERU,,,,,,,,,,,
Conciertos Peru,Music news portal and concert guide. Social Media: 1.1M,,,PERU,,,,,,,,,,,
Diario Correo,A newspaper focused on including general news and cultural events. Social Media: 2.3M,,,PERU,,,,,,,,,,,
Garage Rock,Rock music portal discussing concerts and general music news. Social Media: 302K.,,,PERU,,,,,,,,,,,
YouCanSayFuck - Lamula," news website dedicated to reporting all kinds of news topics including breaking news, politics, music, art, culture, and lifestyle. Social Media: 1M twitter, 450K Facebook.",,,PERU,,,,,,,,,,,
RADIO OASIS,"An online radio station focused on pop and rock music. Social media: 730K ",,,PERU,,,,,,,,,,,
El Comercio,"El Comercio is a Peruvian newspaper based in Lima, it is the oldest newspaper in Peru and one of the oldest Spanish-language papers in the world. It has a daily circulation of more than 120,000. It is one of the most influential media in Peru. The distribution: 100K/day. Monthly website views: 29M. Reach: 1.176M/day.  ",,,PERU,,,,,,,,,,,
El Cuartel del Metal,"Online publication for metal music news, interviews, and more. Social Media: 1M. ",,,"ARGENTINA, PERU",,,,,,,,,,,
"Publimetro ",Free newspaper distributed nationally. Social Media: 1M,,,PERU,,,,,,,,,,,
"Diario El Mundo ",Print/Digital news about economics & business Social Media: 600K,,,VENEZUELA,,,,,,,,,,,
La Mega (Programa Radial Esteropop),"Radio Station focused on alternative rock, top 40, and pop. Social Media: 368K",,,VENEZUELA,,,,,,,,,,,
"Gente Electrónica VE ",Digital media specialized in Venezuelan electronic scene. Social Media: 14k,,,VENEZUELA,,,,,,,,,,,
"Electro Life TV ",All about EDM scene Social Media: 35k,,,VENEZUELA,,,,,,,,,,,
Supernova 103.9 FM,Radio station focused on pop and rock music. Social media: 4K,,,VENEZUELA,,,,,,,,,,,
Venezuela Electronica,DJs and producers of electronic music in Venezuela. Social Media: 5k,,,VENEZUELA,,,,,,,,,,,
"Televen ",News and lifestyle TV Channel. Social Media: 1.8M,,,VENEZUELA,,,,,,,,,,,
El Sumario,Online platform focused on news and culture. Social Media: 120K,,,VENEZUELA,,,,,,,,,,,
Cochino Pop,"Music portal focused on music news, cinema, and pop culture. Social Media 80K",,,VENEZUELA,,,,,,,,,,,
Portal de DJs,"Website about Djs, electronic music, and parties in Venezuela. Social Media: 19.3k ",,,VENEZUELA,,,,,,,,,,,
"Diario El Nacional ","El Nacional is a Venezuelan publishing company under the name C.A. Editorial El Nacional, most widely known for its El Nacional newspaper and website. Social Media: 4.98M ",,,VENEZUELA,,,,,,,,,,,
"Dj M magazine ","Digital Magazine from Venezuela dedicated to DJs, Music, Clubbing, Lifestyle. Social Media 15K",,,VENEZUELA,,,,,,,,,,,
Dj Carlos Salazarccs,"DJ / Producer / Manager / Promoter. ",,,VENEZUELA,,,,,,,,,,,
EDM Venzuela,Information about the best electronic events in Venezuela Social Media: 6k,,,VENEZUELA,,,,,,,,,,,
Diario El Universal,Daily print and web news outlet with a varied focus. Social Media: 5M,,,VENEZUELA,,,,,,,,,,,
HEART MUSIC,Digital communication media promoting everything about the electronic music world. Social Media: 108k,,,VENEZUELA,,,,,,,,,,,
DJ PROFILE TV,"Channel focused on DJ culture, talking about the best DJs and events in Venezuela, and around the world. Social Media: 65k",,,VENEZUELA,,,,,,,,,,,
Electrosunshine,Dj/Producer/Labels/Ak Tek Record Social Media: 17.5K,,,VENEZUELA,,,,,,,,,,,
"Cultura electronica ",Profile that shares work done by DJs in Venezuela. Social Media: 5.6k,,,VENEZUELA,,,,,,,,,,,
Expo DJ Venezuela,Electronic music party in Venezuela. Social Media: 36k,,,VENEZUELA,,,,,,,,,,,
"Portal El Estimulo ","
Multimedia portal focused on news and culture. Social Media: 415K ",,,VENEZUELA,,,,,,,,,,,
Voiceland,Venezuelan EDM promoter. Social Media: 11.1K,,,VENEZUELA,,,,,,,,,,,
Esto esTechno,Media focused on underground music. Social Media: 35k,,,VENEZUELA,,,,,,,,,,,
Alternativa Radical,Online blog focused on music news. Social Media: 2.6K,,,VENEZUELA,,,,,,,,,,,
Glitchus,"Online music portal focused on music videos. Social Media: 6k. ",,,VENEZUELA,,,,,,,,,,,
Cusica,"Venezuelan music and culture platform that operates as a key hub for the local and regional music scene, combining editorial content, live events, festivals, and artist-focused initiatives. Across its social media platforms, Cusica reaches an estimated 120K+ total followers, with its strongest presence on Instagram, complemented by Facebook and X/Twitter.",,,VENEZUELA,,,,,,,,,,,
"DJ CARLOS BONNA ",Dj Producer/ Sl Records. Artilleríacrew. Lw Recordings. Venezuela Electronica Booking Agency. Social Media: 3.5k  Tlf +584245342175,,,VENEZUELA,,,,,,,,,,,
Pal'Toque,Music publication with a primary focus on national rock music but also features international musicians. Social Media: 18K,,,VENEZUELA,,,,,,,,,,,
Rock & Pop 95.5,"El País is a Uruguayan newspaper. Its editorial focus is on the social, political and economic news of Uruguay and is distributed nationwide. 
Social Media: 2M Circulation: 65,000 daily",,,PARAGUAY,,,,,,,,,,,
TV Show,The music and culture section of the newspaper El Pais. Social Media: 1.3M,,,URUGUAY,,,,,,,,,,,
970 Universal,"Radio 970 Am Universal in Montevideo focused in news, culture and music. Social Media: 35K",,,URUGUAY,,,,,,,,,,,
El Deber,"A national and international news organization and publication published in Santa Cruz de la Sierra, Bolivia. Social Media: 1.4M",,,BOLIVIA,,,,,,,,,,,
Sorteos,A website for sweepstakes. Social Media: 16K.,,,URUGUAY,,,,,,,,,,,
Rock & Pop 95.5,A radio station focused on rock and indie music. Social Media: 193K,,,PARAGUAY,,,,,,,,,,,
El Observador,"Newspaper In Montevideo is distributed nationwide is ones most important. Social Media: 1,44M",,,URUGUAY,,,,,,,,,,,
La Republica,Is the most important newspaper in Montevideo. Social Media: 210K,,,URUGUAY,,,,,,,,,,,
Radio Hit 104.7,"Radio station focused on alternative music. Social Media: 214K. ",,,PARAGUAY,,,,,,,,,,,
Solo Rock Uruguay,"Sólo Rock es un blog enfocado en el rock, y a la vez dándole mucho espacio al de origen uruguayo. Social Media: 3.7K",,,URUGUAY,,,,,,,,,,,
Subrayado,"News Channel 10, transmitted monday to Friday. Social Media: 1,6M",,,URUGUAY,,,,,,,,,,,
,,,"4,200",,https://radioqueleo.cl/,,,,,,,,,,
,,,,BRAZIL,,,,,,,,,,,
Axe Pop,"Entertainment portal, cultural agenta, shows & events, update on the music industry. Social Media 18,100",,"18,100",BRAZIL,https://www.axepop.com.br/,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Coolhunter Mx,,,,MÉXICO,https://coolhuntermx.com,,,,,,,,,,
Zarpados,"Website, that also has a Magazine ""REMIX,"" it is focused on Music, art, fashion, and more. Social media: 581K",,,ARGENTINA,http://www.zarpado.com,,,,,,,,,,
Hits Perdidos Br,"A website that provides reviews, interviews, lists, market tips, and news coverage from the music industry. Focusing on independent artists from Brazil and the world. Social media: 21,7K followers",,,BRAZIL,https://hitsperdidos.com,,,,,http://www.twitter.com/HitsPerdidos,http://www.facebook.com/HitsPerdidos,,http://www.instagram.com/hitsperdidos,http://www.youtube.com/channel/UCYoAcLP0a2PslugPCypcxTw,
El Culto,"News, releases, interviews, events, reviews and more! Social Media: 21.1K",,,ARGENTINA,https://www.elculto.com.ar/,,,,,https://twitter.com/elcultocomar,https://www.facebook.com/elculto.com.ar,,https://www.instagram.com/elculto.com.ar/,,
Radio Universo,"Radio station broadcasted over 5 cities in Chile, including Santiago, with a more grownup focus, with news, interviews and music (mainly 80’s to 2000). Social Media: 178.3K.","Indie, Pop, Rock","178,000",CHILE,https://universo.cl/,,,,,https://twitter.com/radiouniverso,https://www.facebook.com/Radiouniversooficial,,https://www.instagram.com/radiouniverso/,,
"La Bestia ","They started as a well known rehearsal, recording studio and label, but have expanded with great success to a 24/7 online radio station since Sept of 2020. It’s focused on new and independent projects in the indie, alt and rock genres. Social Media: 103K","Alternative, Indie, Rock",,MÉXICO,,,,,,,,,,,
The Electroside,Music blog that focuses on everything electronic music in Mexico and around the world. Social Media: 693K,,,MÉXICO," http://theelectroside.com",,,,,,,,,,
Rockaxis,"Part of Chilean outlet (Digital content platform: website, radio, magazine, rehearsal rooms, recording studio and event production. Social media: 25K",Rock,,COLOMBIA,https://www.rockaxis.com,,,,,https://twitter.com/rockaxisoficial/,https://www.facebook.com/rockaxisonline/,,https://www.instagram.com/rockaxisoficial/,https://www.youtube.com/user/Rockaxistv,
,,,,,,,,,,,,,,,
Ligado a Musica,"Music blog sponsored by R7, communication group of the tv channel Record. Social Media: 36K",,,BRAZIL,,,,,,,,,,,
Rock Bizz,"Rock and heavy metal online portal for news, interviews and more. Social Media: 13K",Rock,,BRAZIL,,,,,,,,,,,
Igor Miranda,Very well known music journalist. Social Media: 47.8K,,,BRAZIL,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rock Brigade Magazine,"Rock focused magazine, since 1981. Social Media: 118.3K",Rock,,BRAZIL,http://rockbrigade.com.br/xxx/,,,,,https://twitter.com/rockbrigade30,https://www.facebook.com/RockBrigadeMagazine/?ref=page_internal,,https://www.instagram.com/rockbrigademagazine/,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Revista Vos,"Part of Grupo La Nación, which also prints a daily newspaper, Revista Vos is a lifestyle magazine with news on music, movies, shows, fashion, pop culture. Social Media: 32.1K","Entertainment, Fashion, Lifestyle, Pop",,PARAGUAY,https://vos.lanacion.com.py/,,,,,https://twitter.com/RevistaVos,https://www.facebook.com/revistavos,,https://www.instagram.com/revista.vos/,,
Gonzalo Oliveros,"Very well known music journalist, radio and tv host. Social Media: 214.9K ",,,MÉXICO,,,,,,,,,,,
RHU TV,Online news platform. Social Media: 5.3K,,,MÉXICO,,,,,,,,,,,
Mad House,Online platform for the legendary rock magazine. Social Media: 12.8K,Rock,,ARGENTINA,,,,,,,,,,,
Jornal do Rap,National and international news about rap and hip hop culture. Social Media: 57.9K,"Hip-Hop, Reggae",,BRAZIL,https://www.jornaldorap.com.br/,,,,,https://twitter.com/jornaldorap,https://www.facebook.com/jornaldorap,,https://www.instagram.com/jornaldorap/,,
,,,,,,,,,,,,,,,
Radio formula,One of the most traditional Mexican and International multimedia company. Socials 1.6 M,News,,MÉXICO,https://www.radioformula.com.mx,,,,,https://twitter.com/Radio_Formula,https://www.facebook.com/RadioFormulaMX/,,https://www.instagram.com/radioformulamx/,https://www.youtube.com/channel/UCzmd9Aj2wmPggWZJpLdBB8Q,
W Deportes,Mexican and international sports radio station,"News, Sports",,MÉXICO,wdeportes.com,,,,,https://www.twitter.com/deportesWRadio,https://www.facebook.com/DeportesWRADIO,,,,
88.9 Noticias,"Mexican newspaper that covers politics, health, technology, and sports; both in Mexico and all over the world","News, Sports",,MÉXICO,https://889noticias.mx,,,,,,,,,,
Heraldo,Mexican newspaper that covers both national and international news ranging from politics and economy to sports and culture. Social Media: 1.8M,News,,MÉXICO,https://heraldodemexico.com.mx,,,,,https://twitter.com/@heraldodemexico/,https://www.facebook.com/elheraldodemexico/,,https://instagram.com/elheraldodemexico/,https://www.youtube.com/channel/UC7E9Dj_lmrJdDrH2Bg7rNqQ,
La Octava 88.1,"Cross-platform that covers national and international news ranging from politics to sports and entertainment through TV, radio, and an online portal.",News,,MÉXICO,https://laoctava.com,,,,,https://twitter.com/laoctavadigital,https://www.facebook.com/laoctavadigital/,,https://www.instagram.com/laoctavadigital/,https://www.youtube.com/user/GRadioCentro,
NRM,"Communications company dedicated to nurturing Mexican Radio through its different stations: Beat 100.9, Oye 89.7, Stereo Cien 100.1, Enfoque Noticias, Sabrosita 590AM, and Bandolera.",,,MÉXICO,,,,,,,,,,,
MVS Noticias (Marca Claro),News portal. Social Media: 1.8M.,"News, Sports",,MÉXICO,https://mvsnoticias.com/programas/marca-claro,,,,,,,,,,
Esto,Mexican sports online newspaper that covers both national and international sports news,"News, Sports",,MÉXICO,https://www.esto.com.mx,,,,,https://twitter.com/estoenlinea,https://www.facebook.com/Esto.com.mx/,,https://www.instagram.com/estoenlinea/,https://www.youtube.com/channel/UCBfigctiwFbmMk6rBLWhKyQ,
Cancha Reforma,"Sports section from Mexican digital and online newspaper Reforma that covers both national and international sports news ","News, Sports",,MÉXICO,https://www.reforma.com/cancha/,,,,,https://twitter.com/reforma,https://www.facebook.com/reforma,https://www.tiktok.com/@reforma,https://instagram.com/reforma,,
Record,One of the most relevant online sports newspapers in Mexico that focuses heavily on national and international football soccer,"News, Sports",,MÉXICO,https://www.record.com.mx/,,,,,https://twitter.com/record_mexico,https://www.facebook.com/record.com.mx,,https://www.instagram.com/record_mexico/,https://www.youtube.com/user/RECORDcomMX,
La Afición Milenio,"Mexican online sports section from newspaper Milenio that follows Mexican football soccer, NFL, NBA, F1, and baseball.","News, Sports",,MÉXICO,https://www.milenio.com/deportes,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DJ Mag MX,Mexican version of renowned international DJ Magazine focused on Electronic Music news. Social Media: 256K,Electronic,,MÉXICO,http://djmagmx.com/,,,,,https://twitter.com/DjMagMeX,https://www.facebook.com/DjMagMex/,,https://www.instagram.com/djmagmex/,,
Tus DJs,"Based in Venezuela and Chile but with reach to all of Latam, online electronic focused media with a digital magazine. Social Media: 57K",Electronic,,LATAM,https://www.tusdj.com/,,,,,https://twitter.com/tusdj,https://www.facebook.com/tusdjcom,,https://www.instagram.com/tusdj/,,
Chilectronica,"Online platform focused on electronic music news, event producer. Social Media: 7.1K",Electronic,,CHILE,http://www.chilectronica.com/,,,,,,https://www.facebook.com/chilectronica,,https://www.instagram.com/chilectronica/,https://www.youtube.com/channel/UCsSW_lIljcEOnZdGRvC1Zbg,
Pop 98.9,"Nation wide radio station broadcasting trending global hits: pop, trap, EDM, hip hop, indie, etc. with over 300K listeners per hour. Social Media: 111K.","Electronic, Hip-Hop, Indie, Pop",,El Salvador,http://pop989fm.com/,,,,,,https://www.facebook.com/Pop989fm,,https://www.instagram.com/pop989fm/,,
Offset Podcast,"Hosted by event promoter Federico Rochon, up and coming electronic music podcast with over 20K listeners. Sessions are uploaded to their Soundcloud as well as broadcasted over Chilean based online radio station Playground radio.",Electronic,,URUGUAY,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aqui tem Diversão,"Digital magazine with content on music, theater, movies, shows, visual arts and more. Social Media: 55.5K","Alternative, Indie, News, Pop, Rock",,BRAZIL,,,,,,,,,,,
compi.la,Music blog focused on discovery and new music sounds. Social Media: 2K,"Alternative, Electronic, Indie, Rock",,MÉXICO,https://compi.la/,,,,,https://twitter.com/compilamx,https://www.facebook.com/compilamucho?_rdc=1&_rdr,,https://www.instagram.com/compi.la/,,
,,,,,,,,,,,,,,,
Garaje del Rock,"Rock centric platform with news, videos and updates from the rock scene. Social Media: 416K",Rock,,LATAM,,,,,,,,,,,
WhiteBox,Music blog highlighting new sounds and up and coming projects. They share news and interviews. Social Media: 4.4K,Indie,,MÉXICO,https://www.whiteboxm.com/,,,,,https://twitter.com/WhiteBoxMX,https://www.facebook.com/whiteboxmusic,,https://www.instagram.com/whiteboxmusic/,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cuero Y Metal,"Music website focused on metal and Hard rock, reviews, news and interviews. Social Media: 13K",Rock,,ARGENTINA,http://www.cueroymetal.com.ar,,,,,https://twitter.com/CueroyMetalCba,https://www.facebook.com/cueroymetaloficial/,,https://www.instagram.com/cueroymetalradio/,,
Revista Balaclava,Biannual publication of music and culture from Balaclava Records. Social Media: 45K.,"Indie, Rock",,BRAZIL,,,,,,,,,,,
Downstage,"Rock, emo and underground scene. Social Media: 4.2K",Rock,,BRAZIL,,,,,,,,,,,
Radio UDG,Radio UDG es parte de la universidad más importante del occidente de México y unas de las más importantes del país (UDG por ser Universidad de Guadalajara). Es una estación cultural (por ser parte de la Universidad no puede tener fines comerciales) con 47 años de antigüedad que se encuentra en el 104.3 de FM en el estado de Jalisco y estados vecinos. También se puede escuchar en línea en la página oficial.,,"509,966",MÉXICO,http://udgtv.com/radio-udeg/radioudg-2/guadalajara/,,,,,https://twitter.com/canal44tv?lang=es,https://www.facebook.com/UDGTV44,,https://www.instagram.com/udgtv44/,https://www.youtube.com/user/CANAL44TV,
,,,,,,,,,,,,,,,
Match,"Part of iHeartRadio, pop radio station. Social Media: 162K",Pop,,MÉXICO,,,,,,,,,,,
Conciertos Mexico,News and information on concerts happening in the country. General music news including new releases and reviews. Social Media: 810K,"Entertainment, News",,MÉXICO,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
La Garganta Poderosa,"Magazine for social organization La Poderosa - low resource neighborhoods who work together towards better quality of life. They offer activities for education, sport, culture, etc. Their conversations revolve more around ideals and life perspective. Social Media: 1.4M","Hip-Hop, Indie, Rock",,ARGENTINA,https://lapoderosa.org.ar/,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Radio Urbana,"FM radio station based in Asunción featuring music that spans pop, rock, R&B, hip hop, and electronic—mostly in English—complemented by Southern Cone rock. Social Media: 178K","Indie, Pop",,PARAGUAY,,,,,,,,,,,
Difusora FM,Indie and rock radio station based in Sao Paulo. Social Media: 109.2K,"Indie, Rock",,BRAZIL,,,,,,,,,,,
"Accesso Cultural ",General cultural news. Social Media: 53K,Entertainment,,BRAZIL,,,,,,,,,,,
"Los 40 ",Top 40 musical radio network and radio station brand in many Spanish-speaking countries from Prisa Radio. Social Media: 1.2M,"Entertainment, Pop",,CHILE,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mundo UR,Radio and news conglomerate. Social media: 110K,"Alternative, Indie, Pop",,VENEZUELA,https://mundour.com/,,,,,,,,,,
Terra BR,"General music culture and news blog. Social Media: 550K ","Alternative, Electronic, Hip-Hop, News, Pop, Rock",,BRAZIL,,,,,,,,,,,
Gravity Radio,Alternative music and entertainment news media and radio station. Social Media: 21K,,,ARGENTINA,,,,,,,,,,,
Gravity Radio,,,,,,,,,,,,,,,
La Crónica de Hoy,Daily newspaper in Mexico City. Social Media: 686.7K,News,,MÉXICO,,,,,,,,,,,
EcuadorTV,Public TV news channel. Social Media: 1.5M,"Entertainment, News",,ECUADOR,,,,,,,,,,,
El Club del Rock,"Rock and metal webzine with news on music, concerts, and more. Social Media: 982K.",Rock,,LATAM,https://elclubdelrock.com/,,,,,,,,,,
Touro Rock,Rocks news portal. Social Media: 55.1K,Rock,,BRAZIL,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
El Alebrije,Online platform with entertainment and music news. Social Media: 29.9K,"Indie, News, Pop, Rock",,MÉXICO,,,,,,,,,,,
El Incorrecto,Online news portal based in Puebla. Social Media: 50K,"Indie, News, Pop, Rock",,MÉXICO,,,,,,,,,,,
"Roadie Metal ",Online radio and platform focused on rock and metal news. Social Media: 157.3K,Rock,,BRAZIL,,,,,,,,,,,
,,,,,,,,,,,,,,,
Play BPM,"Founded in July 2015 by two friends who are passionate about electronic music, Rodolfo Reis and Victor Flosi, Play BPM - formerly Play EDM - has as its main mission to develop the dance music market in Brazil. Social Media: 129K",Electronic,,BRAZIL,,,,,,,,,,,
Post Mag,"Lifestyle, luxury and entertainment digital magazine for men. Social Media: 12.5K",Lifestyle,,MÉXICO,https://www.postmag.com.mx,,,,,,,,https://www.instagram.com/_postmag/,,
Picnic TV,A website dedicated to music and pop culture coverage. Social Media: 17.2K,Pop,,CHILE,,,,,,,,,,,
ISATV,ISA TV is the subway’s television network which entertains and informs users on a daily basis. ISA TV has 576 screens in all subways in Mexico City and the video would play 19 times every day for a week with approx. 3.6 million impacts total.,,,MÉXICO,,,,,,,,,,,
Revista Ohlala!,"Part of La Nación newspaper, monthly print magazine focused on content for women where they highlight up and coming artists on their music segment. Social Media: 969K.","Alternative, Fashion, Indie, Lifestyle, Pop",,ARGENTINA,,,,,,,,,,,
Deezer Live,"Music television show on TV Azteca, a national Mexican television channel, focused on presenting the best and most current news in music, highlighting content from within the Deezer app. Weekly audience of 2.2M.",,,MÉXICO,,,,,,,,,,,
WikiRock,A website dedicated to music news and diffusion. Social Media: 70K,"Indie, Rock",,ARGENTINA,https://wikirock.net/,,,,,,,,,,
"El Destape ",Digital newspaper. Social Media: 1.9M,"Entertainment, Indie, Pop, Rock",,CHILE,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Musica Instantanea,"Online music portal for all indie music news, reviews, and releases. Social Media: 56K",,,BRAZIL,,,,,,,,,,,
Radio REAL,Online radio with well known music journalist Gonzalo Oliveros based in Mexico with over 210K listeners around the world.,,,MÉXICO,,,,,,,,,,,
Worked Music,"Online music portal for all indie music news, reviews and interviews. Social Media: 18K",,,PERU,,,,,,,,,,,
,,,,,,,,,,,,,,,
MUXIC,,,,MÉXICO,,,,,,,,,,,
"Bacanika ","Online magazine aimed for young indie audiences. Content is focused on graphic art, music, books, interviews and local events. Social media: 294.8K",,,COLOMBIA,,,,,,,,,,,
MusicTrends,"Online platform for music news, entertainment and local shows. Social media: 62.9K",,,COLOMBIA,,,,,,,,,,,
Monterrey Rock,Website dedicated to rock music. Everything about rock concerts and festivals. Social Media: 203K,,,MÉXICO,,,,,,,,,,,
Urbana Play Radio 104.3FM,Radio station that covers general interest content with a strong focus on national and international music. Social Media: 1.7M,,,ARGENTINA,,,,,,,,,,,
Radio 98FM - Curitiba,"  ",,,BRAZIL,,,,,,,,,,,
NerdSite,"‘Nerd’ content in general: Marvel, DC, comics, animé, music and more. Social Media: 380K",,,BRAZIL,,,,,,,,,,,
Rolling Stone en Español,"Regional edition of the renowned American music magazine, including Argentina, Mexico, Colombia and Spain. They also focus on music, film, videos, etc. Social Media: 2.8M",,,LATAM,,,,,,,,,,,
,,,,,,,,,,,,,,,
Radio Si,Online radio with well known music journalists and reviewers. Social Media: 11k,,,ARGENTINA,https://www.radiosi.com.ar/,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Red 92,News and entertainment radio station based in La Plata. Social Media: 311.9K,,,ARGENTINA,,,,,,,,,,,
,,,,,,,,,,,,,,,
Radio Radar 107.5,Mexican radio station from Querétaro focused on music. Social Media: 150K,,,MÉXICO,,,,,,,,,,,
La 100,"Radio station from Argentina focused on news, music and entertainment. Social media: 1.4M",,,ARGENTINA,,,,,,,,,,,
"Radio Planeta ",Radio station 107.7 FM from Peru focused on music in English. Social media: 174K,,,PERU,,,,,,,,,,,
MAGIA FM,Pop radio station in Floripa. Social media: 21.4k,,,BRAZIL,,,,,,,,,,,
Music Trends,"News on local concerts, new music, entertainment and trends. Social Media: 76.1K",,,COLOMBIA,,,,,,,,,,,
,,,,,,,,,,,,,,,
Escándala,LGBTQ+ multi-platform where entertainment news are shared with a side of humor. Social Media: 1.7M,,,MÉXICO,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aftercluv,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
T3 Latam,"A promoter who has a website, Social Media: over 20. K",,200,"LATAM, MÉXICO",https://t3mag.lat,,,,,,,,https://instagram.com/t3maglat,,
"The Basement ","Podcast from a former Reactor radio host, focused on music interviews.
Past interviews: 
Nick Rhodes: https://open.spotify.com/episode/0xaLb3kIMy4HwVcDY108bf?si=Nz3VWO5KQgO8oXBexUmGug
Dave Grohl: https://open.spotify.com/episode/7fRxE2Ff10HEEB1KtpRQev?si=KS3sdPkrSAu3apMfF0nKhw",,,MÉXICO,,,,,,,,,,,
Mundo Indie,"Online and entertainment music platform with music news, concerts, interviews and new releases. Social Media: 320K.",,,MÉXICO,,,,,,,,,,,
,,,,,,,,,,,,,,,
Socialgram,"Entertainment website for news, interviews, music, travel, events and more. Social Media: 174K.",,,CHILE,,,,,,,,,,,
Radio Portales,Radio with more than 56 years of experience in the Chilean broadcasting medium. Social Media: 287.1K,,,CHILE,,,,,,,,,,,
R,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Latinos Brasil,Major pop culture media outlet in Brazil. Social Media: 109.4K.,,,BRAZIL,,,,,,,,,,,
Cajita Musical,"Website focused on news that brings the world of musical entertainment from Chile and the world. They provide information on concerts, festivals and more. Social Media: 17K",,,CHILE,,,,,,,,,,,
Panoramasweek,"News from places, entertainment, music, travels, festivals, concerts and more. Social Media: 55K",,,CHILE,,,,,,,,,,,
