NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
SOYROCK,"Magazine focused on national and international rock music. Social Media: 1.1M ",Rock,,ARGENTINA,https://revistasoyrock.com,,,,,https://twitter.com/revistasoyrock?lang=es,https://www.facebook.com/soyrock/,,https://www.instagram.com/revistasoyrock/?hl=es-la,https://www.youtube.com/channel/UCcPkZMn90oHJvzCus0KW7ig,
Acá Pasan Cosas,"Website focused on music interviews, reviews, news and concerts. Social Media: 85K",,,ARGENTINA,http://acapasancosas.com.ar,,,,,https://twitter.com/aca_pasan_cosas,https://www.facebook.com/acapasancosas/,,https://www.instagram.com/aca_pasan_cosas/,,
"El Rock Es Cultura ",News and entertainment website focused on rock music based in Argentina. Social Media: 4M,Rock,,ARGENTINA,https://elrockescultura.com,,,,,https://twitter.com/frasesrockna,"http://www.facebook.com/elrockescultura.org ",,https://www.instagram.com/elrockescultura,https://www.youtube.com/user/elrockesculturatv,
"Diario Popular ","A local newspaper published in Sarandí, Argentina, and read widely in the surrounding southern Greater Buenos Aires suburbs of Avellaneda, Lanús and Quilmes. Circulation: 90K, Social Media: 185K. ",,,ARGENTINA,https://www.diariopopular.com.ar,,,,,https://twitter.com/populardiario,https://www.facebook.com/populardiario,,https://www.instagram.com/populardiario,,
"RADIO NACIONAL ","News website and newspaper. Social Media: 110k ",,,ARGENTINA,https://www.radionacional.com.ar,,,,,https://twitter.com/NacionalAM870,https://www.facebook.com/NacionalAM870,,https://www.instagram.com/nacionalam870/,https://www.youtube.com/channel/UCgcUYL6ODQniPuwD4N-Tlvg,
Metacultura,"Online platform for criticism and general expression of cultural and artistic nature, specialized in movies, music and literature. Social Media: 4.6K.",,,ARGENTINA,http://metacultura.com.ar/el-fracaso-de-la-sociedad-argentina/,,,,,https://twitter.com/metacultura,https://www.facebook.com/metaculturadesconcierto/,,https://www.instagram.com/metaculturadesconcierto/,,
Prensario,"Monthly publication, belongs to Editorial Prensario SRL, it's distributed simultaneously from Buenos Aires to Miami. An average of 6 people read each copy within 30 days after publicated. Social Media: 14k+ ",,,ARGENTINA,https://www.prensario.net,,,,,https://twitter.com/prensario,https://www.facebook.com/PrensarioTV-165400986840398/,,https://www.instagram.com/prensario/,,https://www.linkedin.com/company/prensario/
BLUE RADIO FM,A top radio station in the country with over 17 K Listeners. Social Media: 67K,,,ARGENTINA,https://bluefm.com.ar,,,,,https://twitter.com/FmBlue1007,https://www.facebook.com/bluefm/,,https://www.instagram.com/blue1007/,,
Filo News,"Pop culture outlet with a focus on entertainment, sports, news, Lollapalooza, and more. Social Media: 980K.","Entertainment, News",,ARGENTINA,https://www.filo.news,,,,,https://twitter.com/filonewsOK,https://www.facebook.com/filonews,,https://www.instagram.com/filonewsok/,https://www.youtube.com/channel/UC9vs8KujZ2kJ2hbg01fNRVw/videos?sub_confirmation=1,
Pastizales Burning,"Portal for music, culture, art, etc. Social Media: 10K.",,,"ARGENTINA, PENDING",,,,,,,,,,,
